,City,Cloudiness,Humidity,Latitude,Longitude,Temperature,Wind Speed
0,"Avarua, CK",40,73,-21.21,-159.78,75.2,3.36
1,"Ribeira Grande, PT",64,99,38.52,-28.7,64.81,14.9
2,"Matelica, IT",0,100,43.26,13.01,29.43,2.24
3,"Valvedditturai, LK",0,92,9.82,80.17,81.46,14.12
4,"Saldanha, PT",0,87,41.42,-6.55,20.26,2.59
5,"Gat, SN",8,36,14.69,-16.54,62.65,13.44
6,"Krasnoarmeysk, RU",90,92,56.12,38.15,26.6,13.42
7,"Tiksi, RU",64,87,71.64,128.87,-14.44,9.8
8,"Gamba, CN",0,59,28.28,88.52,27.01,8.9
9,"Albany, US",75,64,42.65,-73.75,34.25,14.99
10,"Atuona, PF",48,100,-9.8,-139.03,80.2,10.76
11,"Hithadhoo, MV",64,100,-0.6,73.08,82.5,4.83
12,"Araioses, BR",44,87,-2.89,-41.91,77.73,8.52
13,"Goderich, CA",32,89,43.74,-81.71,26.56,13.38
14,"Sorland, NO",92,100,67.67,12.69,40.38,16.28
15,"Kapaa, US",40,93,22.08,-159.32,68.22,5.82
16,"Santa Cruz del Sur, CU",0,89,20.71,-78.0,68.73,9.08
17,"Muros, ES",0,86,42.77,-9.06,41.0,4.7
18,"Klaksvik, FO",100,100,62.23,-6.59,41.0,12.75
19,"Saint Anthony, US",1,70,43.97,-111.68,1.4,4.7
20,"Bonga, ET",0,37,7.26,36.25,65.4,2.75
21,"Hilo, US",75,68,19.71,-155.08,57.27,5.82
22,"Lorengau, PG",92,100,-2.02,147.27,82.18,5.21
23,"Barrow, AR",0,76,-38.31,-60.23,46.41,4.38
24,"Tuktoyaktuk, CA",40,84,69.44,-133.03,5.36,20.8
25,"Jamestown, AU",76,32,-33.21,138.6,83.31,8.3
26,"Cape Town, ZA",0,59,-33.93,18.42,66.2,10.29
27,"Nabire, ID",64,85,-3.36,135.5,77.68,1.52
28,"Kingsport, US",90,81,36.55,-82.56,41.7,3.36
29,"Ushuaia, AR",75,53,-54.81,-68.31,50.0,6.93
30,"Hobart, AU",40,41,-42.88,147.33,60.8,16.11
31,"Punta Arenas, CL",75,66,-53.16,-70.91,50.0,25.28
32,"Cabo San Lucas, MX",40,73,22.89,-109.91,68.9,5.28
33,"East London, ZA",75,93,-33.02,27.91,66.2,4.7
34,"Gillette, US",1,71,44.29,-105.5,3.2,13.87
35,"Hermanus, ZA",8,81,-34.42,19.24,60.54,2.98
36,"Kodiak, US",90,67,39.95,-94.76,23.0,6.93
37,"Bluff, AU",36,37,-23.58,149.07,94.06,6.22
38,"Tukums, LV",75,86,56.97,23.17,37.4,11.41
39,"Mataura, NZ",0,32,-46.19,168.86,76.11,20.31
40,"Thompson, CA",5,66,55.74,-97.86,-32.81,4.7
41,"Puerto Ayora, EC",76,98,-0.74,-90.35,70.66,8.12
42,"Bredasdorp, ZA",8,63,-34.53,20.04,66.2,4.7
43,"Storforshei, NO",80,92,66.4,14.52,25.17,3.98
44,"Katsuura, JP",75,81,33.93,134.5,50.0,2.24
45,"Busselton, AU",0,71,-33.64,115.35,79.66,6.4
46,"Luderitz, NA",0,82,-26.65,15.16,57.2,9.17
47,"Menongue, AO",88,86,-14.66,17.68,62.88,4.88
48,"Broome, GB",75,93,52.47,1.45,48.2,17.22
49,"Seddon, NZ",0,76,-41.67,174.07,68.01,12.1
50,"Qujing, CN",0,65,25.49,103.8,48.84,4.21
51,"Faanui, PF",32,99,-16.48,-151.75,83.67,13.27
52,"Lagoa, PT",40,82,37.14,-8.45,57.2,13.87
53,"Zhigalovo, RU",56,64,54.81,105.15,7.66,4.38
54,"Mitchell, US",1,72,43.71,-98.03,15.8,10.29
55,"Paamiut, GL",48,100,61.99,-49.67,29.67,14.12
56,"New Norfolk, AU",40,41,-42.78,147.06,60.8,16.11
57,"Mahibadhoo, MV",80,100,3.78,72.97,81.42,14.34
58,"Mehamn, NO",12,100,71.03,27.85,7.66,4.09
59,"Port Elizabeth, US",75,81,39.31,-74.98,42.78,13.87
60,"Kirakira, SB",8,100,-10.46,161.92,83.76,6.73
61,"Abdanan, IR",56,81,32.99,47.42,50.1,1.74
62,"Rikitea, PF",44,100,-23.12,-134.97,77.73,9.91
63,"Carpentras, FR",0,80,44.06,5.05,33.19,4.7
64,"Kruisfontein, ZA",0,82,-34.0,24.73,66.03,1.97
65,"Mar del Plata, AR",0,59,-46.43,-67.52,53.97,23.22
66,"Butaritari, KI",68,98,3.07,172.79,83.4,17.36
67,"Jalu, LY",0,93,29.03,21.55,48.21,8.3
68,"Yellowknife, CA",5,67,62.45,-114.38,-23.81,10.29
69,"Carnarvon, ZA",0,66,-30.97,22.13,61.8,4.38
70,"Georgetown, GY",56,94,6.8,-58.16,73.4,2.24
71,"Grand Gaube, MU",75,74,-20.01,57.66,82.4,8.05
72,"Vaini, IN",0,45,15.34,74.49,81.91,7.4
73,"Galveston, US",90,79,40.58,-86.19,27.36,4.09
74,"Maltahohe, NA",0,29,-24.83,16.98,65.76,4.32
75,"Salalah, OM",0,24,17.01,54.1,78.8,12.75
76,"Kungurtug, RU",36,76,50.6,97.53,11.4,2.98
77,"Avera, US",90,87,33.19,-82.53,59.9,6.93
78,"Iqaluit, CA",75,69,63.75,-68.52,-13.01,4.7
79,"Nome, US",1,87,30.04,-94.42,40.95,3.36
80,"Birnin Kebbi, NG",0,40,12.45,4.2,66.57,13.78
81,"Sabha, LY",8,84,27.03,14.43,31.02,4.09
82,"Raudeberg, NO",92,75,61.99,5.14,42.8,12.75
83,"Tazovskiy, RU",88,91,67.47,78.7,16.8,18.86
84,"Kopychyntsi, UA",92,94,49.11,25.91,39.88,27.76
85,"Ahipara, NZ",92,100,-35.17,173.16,63.78,12.66
86,"Lata, IN",64,70,30.78,78.62,46.9,1.48
87,"Khani, GE",90,93,41.96,42.96,42.8,11.41
88,"Taltal, CL",0,93,-25.41,-70.49,48.48,0.29
89,"Cherskiy, RU",76,65,68.75,161.3,-22.45,12.1
90,"Orotukan, RU",36,58,62.26,151.67,-34.24,3.2
91,"Merauke, ID",20,82,-8.49,140.4,88.93,12.82
92,"Saint-Augustin, FR",90,81,44.83,-0.61,46.4,5.82
93,"Mahebourg, MU",75,74,-20.41,57.7,82.4,8.05
94,"Cidreira, BR",92,100,-30.17,-50.22,70.08,9.35
95,"Naze, NG",20,100,5.43,7.07,71.6,5.21
96,"Lavrentiya, RU",92,91,65.58,-170.99,32.5,26.13
97,"Fort Frances, CA",90,65,48.61,-93.4,5.0,12.75
98,"Buta, CD",56,87,2.79,24.73,77.41,2.3
99,"Cockburn Town, TC",44,100,21.46,-71.14,78.27,15.95
100,"Amapa, HN",75,100,15.09,-87.97,75.2,4.7
101,"Nikolskoye, RU",75,80,59.7,30.79,30.2,20.13
102,"Rudsar, IR",90,100,37.14,50.29,52.79,8.75
103,"Qaanaaq, GL",0,96,77.48,-69.36,-8.77,12.55
104,"Torbay, CA",90,92,47.66,-52.73,28.4,16.11
105,"Richards Bay, ZA",36,93,-28.77,32.06,72.73,8.52
106,"Kikwit, CD",80,98,-5.04,18.82,72.51,3.98
107,"Borba, PT",0,93,38.81,-7.46,41.0,5.82
108,"Pevek, RU",24,90,69.7,170.27,-10.93,26.98
109,"Kuching, MY",75,74,1.56,110.34,86.0,9.17
110,"Ust-Ilimsk, RU",0,68,57.96,102.73,-1.34,3.53
111,"Antalaha, MG",44,92,-14.9,50.28,79.08,2.75
112,"Fairbanks, US",1,76,64.84,-147.72,-12.43,10.65
113,"Puno, PE",12,94,-15.84,-70.03,36.46,4.54
114,"Port Alfred, ZA",32,92,-33.59,26.89,68.82,2.75
115,"Hasaki, JP",75,75,35.73,140.83,44.6,21.16
116,"Portsmouth, GB",88,100,50.8,-1.08,45.82,13.87
117,"Provideniya, RU",92,100,64.42,-173.23,24.27,23.73
118,"Sergeyevka, KZ",48,80,53.88,67.42,8.43,7.34
119,"Vestmanna, FO",68,100,62.16,-7.17,41.0,12.75
120,"Khatanga, RU",0,0,71.98,102.47,-34.6,5.39
121,"Ulaanbaatar, MN",8,84,47.92,106.92,-2.21,4.47
122,"Paraiso, MX",20,85,24.01,-104.61,46.81,3.87
123,"Pimentel, BR",88,100,-3.7,-45.5,71.7,2.98
124,"Husavik, CA",0,64,50.56,-96.99,-14.39,3.2
125,"Saint-Philippe, CA",90,85,45.36,-73.48,18.97,11.41
126,"Ranong, TH",75,55,9.96,98.62,87.8,3.36
127,"Fukue, JP",75,62,35.03,136.69,51.8,2.24
128,"Mirnyy, RU",92,93,56.57,36.46,30.3,15.17
129,"Ponta do Sol, BR",12,91,-20.63,-46.0,62.25,2.98
130,"Temirtau, KZ",90,85,50.05,72.96,24.8,26.84
131,"Chuy, UY",0,83,-33.69,-53.46,63.55,19.6
132,"Ligayan, PH",76,100,4.65,119.47,81.69,11.14
133,"San Vicente, SV",0,68,13.64,-88.78,71.6,8.05
134,"Adrar, DZ",0,51,27.87,-0.29,37.4,8.05
135,"Esperance, TT",20,88,10.24,-61.45,75.2,5.55
136,"Hobyo, SO",88,74,5.35,48.53,78.54,21.88
137,"Mount Hagen, PG",92,98,-5.86,144.23,61.53,2.19
138,"Oyo, NG",0,90,7.84,3.93,64.18,2.86
139,"Brunico, IT",0,73,46.8,11.94,28.94,8.05
140,"Souillac, FR",90,81,45.6,-0.6,45.41,5.82
141,"Upernavik, GL",76,100,72.79,-56.15,11.85,7.63
142,"Beringovskiy, RU",0,100,63.05,179.32,-7.15,5.84
143,"Cayenne, GF",75,94,4.94,-52.33,75.2,4.7
144,"Mokhsogollokh, RU",68,61,61.4,128.95,-34.24,3.38
145,"Doha, QA",0,32,25.29,51.53,68.0,3.36
146,"Huarmey, PE",0,90,-10.07,-78.15,57.61,2.3
147,"Uryupinsk, RU",80,92,50.8,42.01,21.75,12.26
148,"Virden, CA",0,28,49.85,-100.93,-20.38,3.83
149,"Sao Filipe, CV",0,98,14.9,-24.5,72.55,20.04
150,"Castro, CL",92,100,-42.48,-73.76,48.88,5.28
151,"Oksfjord, NO",88,78,70.24,22.35,18.07,6.93
152,"Bathsheba, BB",20,78,13.22,-59.52,78.8,25.28
153,"Berlevag, NO",20,100,70.86,29.09,7.62,4.09
154,"San Rafael, AR",0,40,-34.61,-68.33,51.45,5.32
155,"Saint George, GR",75,69,39.45,22.34,37.4,4.7
156,"Comodoro Rivadavia, AR",0,41,-45.87,-67.48,57.2,26.4
157,"Carlos Chagas, BR",24,97,-17.7,-40.76,68.82,4.83
158,"Polyarnyy, RU",20,75,69.2,33.45,-14.81,3.31
159,"Alibag, IN",8,48,18.64,72.88,82.4,4.7
160,"The Pas, CA",44,60,53.82,-101.24,-13.22,3.31
161,"Alihe, CN",24,49,50.57,123.73,0.69,3.6
162,"Morondava, MG",20,84,-20.3,44.28,83.85,3.83
163,"Durban, FR",0,86,43.54,0.58,39.81,1.12
164,"Aquiraz, BR",40,78,-3.9,-38.39,80.6,10.29
165,"Kabare, RW",32,88,-1.65,29.38,64.05,3.87
166,"Vidim, CZ",40,75,50.47,14.53,43.68,18.34
167,"Lebu, ET",0,35,8.96,38.73,55.4,4.7
168,"Shingu, JP",75,59,33.72,135.99,62.6,16.11
